Sample	0	1	2	3	4	5	6	7	8	9	10	11
SRR33075549_1	(27.0, 6.0)	(28.0, 183.0)	(29.0, 940.0)	(30.0, 2014.0)	(31.0, 3901.0)	(32.0, 7927.0)	(33.0, 15712.0)	(34.0, 29361.0)	(35.0, 56799.0)	(36.0, 133549.0)	(37.0, 144076.0)	
SRR33075549_2	(27.0, 101.0)	(28.0, 5759.0)	(29.0, 20429.0)	(30.0, 27569.0)	(31.0, 35067.0)	(32.0, 46652.0)	(33.0, 65581.0)	(34.0, 88817.0)	(35.0, 79800.0)	(36.0, 23382.0)	(37.0, 1311.0)	
SRR33075550_1	(27.0, 14.0)	(28.0, 197.0)	(29.0, 1093.0)	(30.0, 2222.0)	(31.0, 4536.0)	(32.0, 9019.0)	(33.0, 17736.0)	(34.0, 33188.0)	(35.0, 63419.0)	(36.0, 147843.0)	(37.0, 150630.0)	
SRR33075550_2	(27.0, 123.0)	(28.0, 6256.0)	(29.0, 21989.0)	(30.0, 30162.0)	(31.0, 38886.0)	(32.0, 50808.0)	(33.0, 71214.0)	(34.0, 96031.0)	(35.0, 88245.0)	(36.0, 25529.0)	(37.0, 654.0)	
SRR33075551_1	(27.0, 8.0)	(28.0, 219.0)	(29.0, 1183.0)	(30.0, 2630.0)	(31.0, 5146.0)	(32.0, 10056.0)	(33.0, 18423.0)	(34.0, 32965.0)	(35.0, 60679.0)	(36.0, 140192.0)	(37.0, 141779.0)	
SRR33075551_2	(27.0, 96.0)	(28.0, 5499.0)	(29.0, 19921.0)	(30.0, 27284.0)	(31.0, 35073.0)	(32.0, 46699.0)	(33.0, 65610.0)	(34.0, 91378.0)	(35.0, 90847.0)	(36.0, 29884.0)	(37.0, 989.0)	
SRR33075552_1	(27.0, 5.0)	(28.0, 198.0)	(29.0, 936.0)	(30.0, 2058.0)	(31.0, 4011.0)	(32.0, 8138.0)	(33.0, 15253.0)	(34.0, 27900.0)	(35.0, 51897.0)	(36.0, 122729.0)	(37.0, 132219.0)	
SRR33075552_2	(27.0, 93.0)	(28.0, 4820.0)	(29.0, 17443.0)	(30.0, 23998.0)	(31.0, 31034.0)	(32.0, 41219.0)	(33.0, 57980.0)	(34.0, 80740.0)	(35.0, 78495.0)	(36.0, 27634.0)	(37.0, 1888.0)	
SRR33075553_1	(27.0, 6.0)	(28.0, 182.0)	(29.0, 959.0)	(30.0, 2110.0)	(31.0, 3994.0)	(32.0, 7889.0)	(33.0, 15395.0)	(34.0, 28230.0)	(35.0, 52952.0)	(36.0, 122096.0)	(37.0, 123995.0)	
SRR33075553_2	(27.0, 114.0)	(28.0, 5164.0)	(29.0, 17747.0)	(30.0, 24394.0)	(31.0, 31408.0)	(32.0, 41924.0)	(33.0, 58456.0)	(34.0, 80069.0)	(35.0, 74351.0)	(36.0, 23017.0)	(37.0, 1164.0)	
SRR33075554_1	(27.0, 4.0)	(28.0, 176.0)	(29.0, 942.0)	(30.0, 2019.0)	(31.0, 3785.0)	(32.0, 7305.0)	(33.0, 13213.0)	(34.0, 23357.0)	(35.0, 42178.0)	(36.0, 100778.0)	(37.0, 183934.0)	
SRR33075554_2	(27.0, 111.0)	(28.0, 4646.0)	(29.0, 14533.0)	(30.0, 19930.0)	(31.0, 25887.0)	(32.0, 35342.0)	(33.0, 50918.0)	(34.0, 76553.0)	(35.0, 99723.0)	(36.0, 49049.0)	(37.0, 999.0)	
SRR33075555_1	(27.0, 4.0)	(28.0, 145.0)	(29.0, 898.0)	(30.0, 1962.0)	(31.0, 3832.0)	(32.0, 7551.0)	(33.0, 14100.0)	(34.0, 25104.0)	(35.0, 45985.0)	(36.0, 111006.0)	(37.0, 201824.0)	
SRR33075555_2	(27.0, 128.0)	(28.0, 5353.0)	(29.0, 16428.0)	(30.0, 22227.0)	(31.0, 29657.0)	(32.0, 40034.0)	(33.0, 56713.0)	(34.0, 85118.0)	(35.0, 106051.0)	(36.0, 49634.0)	(37.0, 1068.0)	
SRR33075556_1	(27.0, 3.0)	(28.0, 171.0)	(29.0, 1208.0)	(30.0, 2399.0)	(31.0, 4667.0)	(32.0, 8883.0)	(33.0, 16218.0)	(34.0, 28149.0)	(35.0, 51032.0)	(36.0, 122561.0)	(37.0, 228831.0)	
SRR33075556_2	(27.0, 112.0)	(28.0, 5162.0)	(29.0, 17008.0)	(30.0, 23496.0)	(31.0, 31096.0)	(32.0, 42198.0)	(33.0, 60182.0)	(34.0, 91635.0)	(35.0, 124387.0)	(36.0, 67258.0)	(37.0, 1588.0)	
SRR33075557_1	(27.0, 5.0)	(28.0, 186.0)	(29.0, 941.0)	(30.0, 1912.0)	(31.0, 3709.0)	(32.0, 7519.0)	(33.0, 14579.0)	(34.0, 26840.0)	(35.0, 50935.0)	(36.0, 122049.0)	(37.0, 191947.0)	
SRR33075557_2	(26.0, 2.0)	(27.0, 148.0)	(28.0, 6861.0)	(29.0, 20374.0)	(30.0, 26555.0)	(31.0, 34771.0)	(32.0, 46443.0)	(33.0, 64961.0)	(34.0, 91479.0)	(35.0, 95594.0)	(36.0, 32903.0)	(37.0, 531.0)
SRR33075558_1	(27.0, 12.0)	(28.0, 763.0)	(29.0, 4719.0)	(30.0, 9777.0)	(31.0, 18420.0)	(32.0, 33841.0)	(33.0, 59427.0)	(34.0, 102232.0)	(35.0, 181647.0)	(36.0, 367085.0)	(37.0, 309676.0)	
SRR33075558_2	(26.0, 1.0)	(27.0, 477.0)	(28.0, 24224.0)	(29.0, 78616.0)	(30.0, 100155.0)	(31.0, 123647.0)	(32.0, 154113.0)	(33.0, 193421.0)	(34.0, 211894.0)	(35.0, 154167.0)	(36.0, 44807.0)	(37.0, 2077.0)
SRR33075559_1	(27.0, 3.0)	(28.0, 193.0)	(29.0, 1156.0)	(30.0, 2215.0)	(31.0, 4247.0)	(32.0, 8026.0)	(33.0, 14813.0)	(34.0, 25826.0)	(35.0, 46316.0)	(36.0, 113272.0)	(37.0, 211591.0)	
SRR33075559_2	(27.0, 105.0)	(28.0, 4888.0)	(29.0, 15652.0)	(30.0, 21413.0)	(31.0, 28601.0)	(32.0, 38853.0)	(33.0, 56003.0)	(34.0, 84947.0)	(35.0, 115060.0)	(36.0, 60565.0)	(37.0, 1571.0)	
